Word | ROI | Freq | Fragments | Token Breakdown
--------------------------------------------------------------------------------
syndrome | 13648 | 6824 | 3 | ['sy', 'nd', 'rome']
treatment | 5741 | 5741 | 2 | ['t', 'reatment']
pulmonary | 4880 | 2440 | 3 | ['p', 'ul', 'monary']
diagnosis | 4736 | 4736 | 2 | ['di', 'agnosis']
carcinoma | 4714 | 2357 | 3 | ['car', 'cin', 'oma']
pregnancy | 4582 | 2291 | 3 | ['preg', 'n', 'ancy']
increased | 4056 | 4056 | 2 | ['incre', 'ased']
infection | 3832 | 3832 | 2 | ['in', 'fection']
respiratory | 3578 | 1789 | 3 | ['res', 'pir', 'atory']
fracture | 3566 | 1783 | 3 | ['fr', 'act', 'ure']
abdominal | 3360 | 1680 | 3 | ['ab', 'dom', 'inal']
symptoms | 3238 | 3238 | 2 | ['sym', 'ptoms']
decreased | 3022 | 1511 | 3 | ['de', 'cre', 'ased']
congenital | 2952 | 1476 | 3 | ['con', 'gen', 'ital']
textbook | 2761 | 2761 | 2 | ['text', 'book']
diseases | 2760 | 1380 | 3 | ['d', 'ise', 'ases']
proteins | 2712 | 1356 | 3 | ['pro', 'te', 'ins']
malignant | 2694 | 1347 | 3 | ['m', 'align', 'ant']
anterior | 2652 | 2652 | 2 | ['an', 'terior']
posterior | 2621 | 2621 | 2 | ['post', 'erior']
commonly | 2619 | 2619 | 2 | ['common', 'ly']
deficiency | 2565 | 2565 | 2 | ['def', 'iciency']
involvement | 2492 | 1246 | 3 | ['in', 'vol', 'vement']
examination | 2349 | 2349 | 2 | ['ex', 'amination']
cervical | 2326 | 1163 | 3 | ['c', 'erv', 'ical']
epithelium | 2250 | 750 | 4 | ['ep', 'ith', 'el', 'ium']
disorder | 2143 | 2143 | 2 | ['dis', 'order']
hepatitis | 2128 | 1064 | 3 | ['he', 'pat', 'itis']
elevated | 2118 | 1059 | 3 | ['e', 'lev', 'ated']
pneumonia | 2106 | 702 | 4 | ['p', 'ne', 'um', 'onia']
antibodies | 2088 | 1044 | 3 | ['ant', 'ib', 'odies']
presents | 2042 | 2042 | 2 | ['p', 'resents']
membrane | 2010 | 2010 | 2 | ['mem', 'brane']
inflammation | 1918 | 959 | 3 | ['in', 'flamm', 'ation']
necrosis | 1910 | 955 | 3 | ['n', 'ec', 'rosis']
characterized | 1905 | 1905 | 2 | ['character', 'ized']
mechanism | 1890 | 945 | 3 | ['me', 'chan', 'ism']
sympathetic | 1881 | 627 | 4 | ['sy', 'mp', 'ath', 'etic']
tachycardia | 1844 | 461 | 5 | ['t', 'ach', 'yc', 'ard', 'ia']
involves | 1842 | 921 | 3 | ['in', 'vol', 'ves']
thrombocytopenia | 1842 | 307 | 7 | ['th', 'rom', 'b', 'oc', 'yt', 'open', 'ia']
cerebral | 1824 | 912 | 3 | ['c', 'ere', 'bral']
vomiting | 1822 | 911 | 3 | ['v', 'om', 'iting']
